
0,0,20,0,36,4,2147483647,2147483647,0,4,null,null,,0,RIGHT,,0,60
1,1,50,0,24,4,2147483647,2147483647,0,4,null,null,,1,LEFT,,1,60
2,2,80,0,36,4,2147483647,2147483647,0,4,null,null,,2,LEFT,,2,60
3,3,110,0,48,4,93,2147483647,0,3,null,null,,3,UP,,3,30
4,4,140,0,60,4,75,2147483647,0,3,null,null,,4,LEFT,,4,0
5,5,140,0,84,28,49,2147483647,0,2,null,null,,5,RIGHT,,5,0
6,6,140,0,80,24,33,2147483647,0,0,null,null,,6,LEFT,,6,10
7,7,140,0,68,12,33,2147483647,0,0,null,null,,7,UP,,7,80
8,8,150,0,56,4,49,2147483647,0,0,null,null,,8,LEFT,,8,100
9,9,220,0,52,4,15,2147483647,0,0,null,null,,9,UP,,9,60
10,10,250,0,40,4,3,2147483647,0,0,null,null,,10,LEFT,,10,60
11,11,280,0,28,4,21,2147483647,0,0,null,null,,11,LEFT,,11,190
12,12,310,0,16,4,25,2147483647,0,0,null,null,,12,LEFT,,12,160
13,13,470,163,85,4,2147483647,29,4,0,null,null,,13,LEFT,,13,350
14,14,470,151,76,4,2147483647,13,4,0,null,null,,14,UP,,14,380
15,15,820,91,40,4,2147483647,19,3,1,null,null,,15,RIGHT,,15,50
16,16,850,79,52,4,2147483647,13,3,1,null,null,,16,UP,,16,20
17,17,870,67,64,16,2147483647,7,3,1,null,null,,17,DOWN,,17,60
18,18,870,39,92,4,49,23,3,0,null,null,,18,UP,,18,60
19,19,930,11,85,16,47,35,3,0,null,null,,19,UP,,19,0
20,20,930,0,73,4,54,2147483647,0,0,null,null,,20,LEFT,,20,0
21,21,930,0,85,16,31,2147483647,0,0,null,null,,21,RIGHT,,21,0
22,22,930,0,76,28,7,2147483647,0,0,null,null,,22,DOWN,,22,0
23,23,930,0,64,16,17,2147483647,0,0,null,null,,23,DOWN,,23,0
24,24,930,0,92,36,49,2147483647,0,0,null,null,,24,LEFT,,24,0
25,25,930,0,85,16,15,2147483647,0,0,null,null,,25,LEFT,,25,0
26,26,930,0,76,28,33,2147483647,0,0,null,null,,26,LEFT,,26,0
27,27,930,0,64,16,57,2147483647,0,0,null,null,,27,LEFT,,27,0
28,28,930,0,52,4,60,2147483647,0,0,null,null,,28,LEFT,,28,30
29,29,930,0,40,4,44,2147483647,0,0,null,null,,29,RIGHT,,29,200
30,30,960,0,28,4,44,2147483647,0,0,null,null,,30,UP,,30,190
31,31,1130,183,100,4,2147483647,58,4,0,null,null,,31,RIGHT,,31,20
32,32,1150,171,112,4,2147483647,40,4,0,null,null,,32,LEFT,,32,0
33,33,1150,159,124,16,2147483647,58,4,0,null,null,,33,UP,,33,0
34,34,1150,99,124,28,2147483647,58,4,0,null,null,,34,UP,,34,0
35,35,1150,87,112,16,2147483647,52,4,0,null,null,,35,LEFT,,35,0
36,36,1150,75,100,4,2147483647,70,4,0,null,null,,36,UP,,36,0
37,37,1150,23,112,16,2147483647,68,4,0,null,null,,37,UP,,37,0
38,38,1150,0,108,36,73,2147483647,0,0,null,null,,38,UP,,38,0
39,39,1150,0,136,16,84,2147483647,0,0,null,null,,39,RIGHT,,39,0
40,40,1150,0,124,28,81,2147483647,0,0,null,null,,40,RIGHT,,40,0
41,41,1150,0,112,16,81,2147483647,0,0,null,null,,41,RIGHT,,41,0
42,42,1150,0,100,4,81,2147483647,0,0,null,null,,42,UP,,42,0
43,43,1150,0,112,16,76,2147483647,0,0,null,null,,43,UP,,43,0
